NBR,15.41,N/A,N/A,4448401
NSTG,8.085,8.12,8.07,43988
NDAQ,32.87,33.13,33.00,954990
NOV,69.43,N/A,N/A,3618153
NNN,34.54,N/A,N/A,1299882
NSM,37.62,N/A,N/A,706751
NAV,28.00,N/A,N/A,1206416
NCR,33.17,N/A,N/A,1130672
NKTR,11.79,11.93,11.37,1150893
NTAP,37.77,37.90,37.71,3713138
NFLX,214.58,224.25,224.16,3493612
NGD,6.47,N/A,N/A,3235609
EDU,22.195,N/A,N/A,645050
NRZ,6.72,N/A,N/A,3025697
NYCB,14.01,N/A,N/A,3505505
NYMT,6.78,6.78,6.71,579087
NYT,11.11,N/A,N/A,2077276
NCT,5.28,N/A,N/A,3855672
NWL,26.24,N/A,N/A,1441300
NFX,24.08,N/A,N/A,1322883
NEM,30.30,N/A,N/A,12433934
NWS,15.48,15.19,14.28,4338668
NWSA,15.59,14.78,14.61,25783862
NEE,81.88,N/A,N/A,2607833
NLSN,33.64,N/A,N/A,3548788
NIHD,6.75,6.71,6.61,2652849
NKE,63.94,N/A,N/A,7199662
NI,28.62,N/A,N/A,2072589
NE,37.85,N/A,N/A,1757300
NBL,60.37,N/A,N/A,2464860
NDLS,38.73,40.60,40.02,1047843
JWN,60.28,N/A,N/A,1652543
NSC,72.95,N/A,N/A,2028035
NU,42.17,N/A,N/A,2235229
NTI,24.25,N/A,N/A,1665344
NTRS,58.13,58.80,58.62,1392649
NOC,82.78,N/A,N/A,908967
NRF,9.20,N/A,N/A,2882005
NVS,70.91,N/A,N/A,907599
NPSP,15.37,15.98,15.87,1738726
NRG,26.76,N/A,N/A,3365294
NUS,61.21,N/A,N/A,501450
NUAN,18.46,18.87,18.79,3466253
NUE,43.64,N/A,N/A,1430668
NVE,23.47,N/A,N/A,3556254
NVDA,14.14,14.05,14.04,4972055
NXPI,31.42,31.13,30.86,1036136
NYX,41.56,N/A,N/A,1034954
ORLY,113.03,114.67,113.99,864737
OAS,38.82,N/A,N/A,1888084
OXY,89.92,N/A,N/A,2835245
OZM,10.50,N/A,N/A,531432
OCN,41.67,N/A,N/A,1822447
OMX,10.29,N/A,N/A,1140963
ORI,12.94,N/A,N/A,1059670
OHI,31.33,N/A,N/A,1076605
OCR,48.20,N/A,N/A,663122
OMC,62.89,N/A,N/A,1532631
OVTI,18.57,18.46,18.38,818469
ONNN,8.16,8.09,8.06,4698788
OKE,41.58,N/A,N/A,1737542
ONXX,132.63,131.44,131.10,18594898
OPK,7.29,N/A,N/A,2284083
ORCL,30.89,30.11,30.08,33712968
OREX,5.91,6.08,6.02,1408934
OC,39.15,N/A,N/A,2395650
OI,27.92,N/A,N/A,1885816
PCAR,53.94,54.15,54.05,1424702
PAAS,11.62,11.82,11.74,3257396
P,19.32,N/A,N/A,18631416
PH,96.36,N/A,N/A,752348
PTEN,19.49,20.21,20.11,2963615
PAYX,36.40,36.69,36.54,2296766
PBF,25.90,N/A,N/A,1819127
PDLI,7.74,7.85,7.75,1656715
BTU,14.72,N/A,N/A,7180907
PWE,10.62,N/A,N/A,2213835
PMT,21.23,N/A,N/A,1106115
PNR,57.85,N/A,N/A,837382
PBCT,14.97,14.98,14.92,3354385
POM,20.28,N/A,N/A,2753896
PEP,81.96,N/A,N/A,3804856
PBR,13.37,N/A,N/A,15402454
PBR-A,14.51,N/A,N/A,7498231
PETM,67.55,67.55,67.35,745971
PFE,27.97,N/A,N/A,67768000
PCG,46.17,N/A,N/A,4099134
