Date,Open,High,Low,Close,Volume,Adj Close
2011-12-13,15.98,16.19,15.02,15.26,545800,10.17
2011-12-12,15.88,15.95,15.65,15.76,528300,10.51
2011-12-09,15.53,16.33,15.44,16.20,778600,10.80
2011-12-08,15.32,15.70,15.20,15.45,671400,10.30
2011-12-07,15.45,15.63,14.84,15.52,497200,10.35
2011-12-06,15.60,15.73,15.21,15.55,353600,10.37
2011-12-05,15.70,15.83,15.36,15.57,675800,10.38
2011-12-02,15.71,15.88,15.37,15.41,524100,10.27
2011-12-01,15.59,15.61,15.35,15.41,576200,10.27
2011-11-30,16.07,16.08,15.30,15.61,982600,10.41
2011-11-29,15.50,15.62,14.84,15.02,402200,10.01
2011-11-28,14.78,15.94,14.78,15.43,621900,10.29
2011-11-25,14.64,14.98,14.21,14.23,266700,9.49
2011-11-23,15.10,15.15,14.66,14.75,654300,9.83
2011-11-22,15.70,16.11,15.22,15.27,725700,10.18
2011-11-21,16.51,17.00,15.50,15.71,870900,10.47
2011-11-18,17.39,17.45,16.75,16.83,514400,11.22
2011-11-17,16.82,17.49,16.55,17.10,1154800,11.40
2011-11-16,16.64,17.29,16.34,16.82,595000,11.21
2011-11-15,16.50,16.79,16.06,16.63,568500,11.09
2011-11-14,17.37,17.37,16.30,16.58,347100,11.05
2011-11-11,16.56,17.10,16.56,16.88,490800,11.25
2011-11-10,15.89,16.50,15.60,16.32,531400,10.88
2011-11-09,16.15,16.38,15.49,15.55,848100,10.37
2011-11-08,16.73,16.90,16.12,16.79,416100,11.19
2011-11-07,17.14,17.14,16.26,16.51,749000,11.01
2011-11-04,16.87,17.60,16.80,17.28,699000,11.52
2011-11-03,16.34,17.20,16.11,17.12,949600,11.41
2011-11-02,15.80,16.25,15.45,16.12,823600,10.75
2011-11-01,15.57,15.92,15.05,15.34,1240000,10.23
2011-10-31,16.23,17.22,16.16,16.27,1330400,10.85
2011-10-28,15.99,16.31,15.45,16.20,1433100,10.80
2011-10-27,19.79,20.00,16.00,16.12,3260800,10.75
2011-10-26,18.59,19.48,18.22,19.36,1338300,12.91
2011-10-25,18.65,18.70,17.89,17.90,586200,11.93
2011-10-24,17.64,18.91,17.55,18.86,753300,12.57
2011-10-21,17.21,17.54,16.91,17.47,471000,11.65
2011-10-20,16.42,16.95,15.73,16.86,453600,11.24
2011-10-19,17.06,17.37,16.25,16.31,331500,10.87
2011-10-18,16.51,17.33,15.90,17.10,393300,11.40
2011-10-17,16.93,17.15,16.35,16.37,461700,10.91
2011-10-14,17.27,17.51,16.97,17.21,645300,11.47
2011-10-13,17.38,17.50,16.35,16.83,641400,11.22
2011-10-12,17.37,17.77,17.13,17.65,637500,11.77
2011-10-11,16.49,17.44,16.31,17.09,562200,11.39
2011-10-10,15.91,16.74,15.88,16.73,503200,11.15
2011-10-07,16.41,16.55,15.42,15.45,732000,10.30
2011-10-06,15.66,16.23,15.32,16.20,642800,10.80
2011-10-05,14.93,16.00,14.33,15.74,751200,10.49
2011-10-04,13.25,15.08,12.78,14.93,949400,9.95
2011-10-03,13.89,14.26,13.36,13.50,982800,9.00
2011-09-30,14.23,14.48,13.95,13.99,571000,9.33
2011-09-29,15.35,15.38,14.00,14.50,624300,9.67
2011-09-28,16.11,16.31,14.77,14.78,974200,9.85
2011-09-27,16.32,16.60,15.85,16.16,794000,10.77
2011-09-26,15.29,15.86,14.61,15.75,743600,10.50
2011-09-23,14.18,15.07,13.92,14.81,696300,9.87
